,No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
1035,1128,2010,2,16,23,198.0,-12,-4.0,1026.0,1,0.89,0,0
1036,1129,2010,2,17,0,207.0,-13,-6.0,1025.0,3,0.89,0,0
1037,1130,2010,2,17,1,237.0,-13,-5.0,1025.0,3,1.78,0,0
1038,1131,2010,2,17,2,247.0,-12,-6.0,1025.0,0,3.13,0,0
1039,1132,2010,2,17,3,227.0,-12,-5.0,1025.0,0,7.15,0,0
1040,1133,2010,2,17,4,176.0,-12,-3.0,1024.0,0,11.17,0,0
1041,1134,2010,2,17,5,113.0,-8,-1.0,1024.0,0,19.22,0,0
1042,1135,2010,2,17,6,46.0,-15,-1.0,1025.0,0,28.16,0,0
1043,1136,2010,2,17,7,18.0,-15,-2.0,1026.0,0,35.31,0,0
1044,1137,2010,2,17,8,13.0,-19,-3.0,1027.0,0,42.46,0,0
1045,1138,2010,2,17,9,22.0,-22,-2.0,1028.0,0,54.53,0,0
1046,1139,2010,2,17,10,15.0,-22,-1.0,1029.0,0,63.47,0,0
1047,1140,2010,2,17,11,18.0,-23,-1.0,1028.0,0,74.65,0,0
1048,1141,2010,2,17,12,18.0,-25,0.0,1028.0,0,86.72,0,0
1049,1142,2010,2,17,13,12.0,-25,1.0,1027.0,0,97.9,0,0
1050,1143,2010,2,17,14,11.0,-25,1.0,1027.0,0,107.73,0,0
1051,1144,2010,2,17,15,11.0,-26,2.0,1026.0,0,118.91,0,0
1052,1145,2010,2,17,16,12.0,-27,1.0,1026.0,0,130.09,0,0
1053,1146,2010,2,17,17,9.0,-25,1.0,1026.0,0,139.03,0,0
1054,1147,2010,2,17,18,9.0,-22,-3.0,1026.0,1,1.79,0,0
1055,1148,2010,2,17,19,27.0,-22,-2.0,1026.0,2,0.89,0,0
1056,1149,2010,2,17,20,31.0,-19,-4.0,1026.0,2,2.68,0,0
1057,1150,2010,2,17,21,39.0,-18,-4.0,1027.0,2,4.47,0,0
1058,1151,2010,2,17,22,49.0,-20,-4.0,1027.0,2,6.26,0,0
1059,1152,2010,2,17,23,48.0,-18,-8.0,1027.0,2,9.39,0,0
1060,1153,2010,2,18,0,50.0,-19,-6.0,1027.0,3,0.45,0,0
1061,1154,2010,2,18,1,38.0,-19,-7.0,1027.0,0,0.89,0,0
1062,1155,2010,2,18,2,36.0,-17,-9.0,1026.0,1,0.89,0,0
1063,1156,2010,2,18,3,41.0,-18,-9.0,1026.0,3,0.89,0,0
1064,1157,2010,2,18,4,80.0,-16,-10.0,1025.0,1,0.89,0,0
1065,1158,2010,2,18,5,70.0,-18,-9.0,1025.0,0,0.89,0,0
1066,1159,2010,2,18,6,74.0,-18,-11.0,1026.0,1,1.79,0,0
1067,1160,2010,2,18,7,77.0,-18,-11.0,1026.0,3,0.89,0,0
1068,1161,2010,2,18,8,87.0,-17,-8.0,1026.0,3,1.78,0,0
1069,1162,2010,2,18,9,107.0,-18,-4.0,1027.0,0,3.13,0,0
1070,1163,2010,2,18,10,54.0,-17,0.0,1026.0,3,0.89,0,0
1071,1164,2010,2,18,11,36.0,-21,2.0,1026.0,3,1.78,0,0
1072,1165,2010,2,18,12,34.0,-21,3.0,1024.0,3,2.67,0,0
1073,1166,2010,2,18,13,19.0,-21,5.0,1022.0,0,5.81,0,0
1074,1167,2010,2,18,14,26.0,-21,5.0,1021.0,0,11.62,0,0
1075,1168,2010,2,18,15,27.0,-21,6.0,1021.0,0,13.41,0,0
1076,1169,2010,2,18,16,27.0,-21,4.0,1021.0,2,5.81,0,0
1077,1170,2010,2,18,17,29.0,-21,4.0,1021.0,2,9.83,0,0
1078,1171,2010,2,18,18,41.0,-21,3.0,1021.0,3,4.02,0,0
1079,1172,2010,2,18,19,47.0,-20,2.0,1021.0,2,4.92,0,0
1080,1173,2010,2,18,20,115.0,-20,3.0,1021.0,2,8.94,0,0
1081,1174,2010,2,18,21,265.0,-20,2.0,1021.0,2,12.96,0,0
1082,1175,2010,2,18,22,236.0,-17,-1.0,1021.0,2,14.75,0,0
1083,1176,2010,2,18,23,296.0,-16,-3.0,1021.0,3,0.89,0,0
1084,1177,2010,2,19,0,159.0,-15,-5.0,1020.0,3,1.78,0,0
1085,1178,2010,2,19,1,119.0,-15,-6.0,1020.0,3,2.67,0,0
1086,1179,2010,2,19,2,115.0,-14,-7.0,1019.0,3,3.56,0,0
1087,1180,2010,2,19,3,168.0,-15,-8.0,1019.0,3,4.45,0,0
1088,1181,2010,2,19,4,177.0,-15,-8.0,1018.0,3,4.9,0,0
1089,1182,2010,2,19,5,191.0,-15,-8.0,1018.0,3,5.79,0,0
1090,1183,2010,2,19,6,185.0,-15,-9.0,1018.0,0,1.79,0,0
1091,1184,2010,2,19,7,157.0,-15,-9.0,1018.0,0,3.58,0,0
1092,1185,2010,2,19,8,114.0,-13,-6.0,1018.0,1,0.89,0,0
1093,1186,2010,2,19,9,117.0,-14,-2.0,1018.0,1,2.68,0,0
1094,1187,2010,2,19,10,112.0,-15,1.0,1018.0,1,4.47,0,0
1095,1188,2010,2,19,11,107.0,-17,4.0,1017.0,3,0.89,0,0
1096,1189,2010,2,19,12,96.0,-16,7.0,1017.0,3,1.78,0,0
1097,1190,2010,2,19,13,99.0,-16,9.0,1016.0,2,4.02,0,0
1098,1191,2010,2,19,14,82.0,-17,10.0,1015.0,2,5.81,0,0
1099,1192,2010,2,19,15,58.0,-18,11.0,1014.0,2,8.94,0,0
1100,1193,2010,2,19,16,40.0,-18,10.0,1014.0,3,3.13,0,0
1101,1194,2010,2,19,17,45.0,-18,9.0,1014.0,2,3.13,0,0
1102,1195,2010,2,19,18,44.0,-19,7.0,1014.0,2,6.26,0,0
1103,1196,2010,2,19,19,49.0,-18,7.0,1014.0,2,10.28,0,0
1104,1197,2010,2,19,20,65.0,-16,1.0,1015.0,3,0.89,0,0
1105,1198,2010,2,19,21,101.0,-14,-1.0,1015.0,3,1.78,0,0
1106,1199,2010,2,19,22,146.0,-13,-2.0,1015.0,3,2.67,0,0
1107,1200,2010,2,19,23,165.0,-13,-3.0,1015.0,3,3.56,0,0
1108,1201,2010,2,20,0,205.0,-12,-4.0,1015.0,3,4.45,0,0
1109,1202,2010,2,20,1,191.0,-14,-1.0,1015.0,3,5.34,0,0
1110,1203,2010,2,20,2,204.0,-14,-3.0,1015.0,0,0.89,0,0
1111,1204,2010,2,20,3,190.0,-12,-5.0,1014.0,0,1.78,0,0
1112,1205,2010,2,20,4,174.0,-12,-6.0,1014.0,0,3.57,0,0
1113,1206,2010,2,20,5,144.0,-12,-6.0,1014.0,0,5.36,0,0
1114,1207,2010,2,20,6,120.0,-12,-7.0,1014.0,2,0.89,0,0
1115,1208,2010,2,20,7,122.0,-13,-8.0,1014.0,0,1.79,0,0
1116,1209,2010,2,20,8,152.0,-11,-6.0,1014.0,3,0.89,0,0
1117,1210,2010,2,20,9,158.0,-12,0.0,1015.0,1,1.79,0,0
1118,1211,2010,2,20,10,178.0,-12,3.0,1014.0,2,1.79,0,0
1119,1212,2010,2,20,11,184.0,-11,5.0,1014.0,2,3.58,0,0
1120,1213,2010,2,20,12,184.0,-10,7.0,1013.0,2,5.37,0,0
1121,1214,2010,2,20,13,185.0,-9,8.0,1012.0,2,8.5,0,0
1122,1215,2010,2,20,14,175.0,-9,9.0,1011.0,2,11.63,0,0
1123,1216,2010,2,20,15,165.0,-8,9.0,1010.0,2,14.76,0,0
1124,1217,2010,2,20,16,150.0,-8,9.0,1011.0,3,0.89,0,0
1125,1218,2010,2,20,17,163.0,-8,8.0,1010.0,3,1.78,0,0
1126,1219,2010,2,20,18,172.0,-8,7.0,1010.0,0,3.13,0,0
1127,1220,2010,2,20,19,184.0,-8,5.0,1011.0,0,4.92,0,0
1128,1221,2010,2,20,20,178.0,-9,2.0,1011.0,1,1.79,0,0
1129,1222,2010,2,20,21,211.0,-7,-1.0,1011.0,2,0.89,0,0
1130,1223,2010,2,20,22,213.0,-8,-2.0,1012.0,3,0.45,0,0
1131,1224,2010,2,20,23,282.0,-8,-2.0,1011.0,3,1.34,0,0
1132,1225,2010,2,21,0,261.0,-7,-2.0,1011.0,3,2.23,0,0
1133,1226,2010,2,21,1,215.0,-6,-1.0,1011.0,3,2.68,0,0
1134,1227,2010,2,21,2,233.0,-6,-2.0,1011.0,3,3.57,0,0
1135,1228,2010,2,21,3,235.0,-6,-2.0,1011.0,0,0.89,0,0
1136,1229,2010,2,21,4,214.0,-7,-2.0,1011.0,0,2.68,0,0
1137,1230,2010,2,21,5,205.0,-8,-3.0,1011.0,0,4.47,0,0
1138,1231,2010,2,21,6,206.0,-8,-5.0,1011.0,0,7.6,0,0
1139,1232,2010,2,21,7,220.0,-7,-3.0,1012.0,0,9.39,0,0
1140,1233,2010,2,21,8,191.0,-6,-1.0,1013.0,0,12.52,0,0
1141,1234,2010,2,21,9,189.0,-6,3.0,1014.0,0,17.44,0,0
1142,1235,2010,2,21,10,109.0,-8,6.0,1014.0,0,22.36,0,0
1143,1236,2010,2,21,11,65.0,-8,10.0,1014.0,0,25.49,0,0
1144,1237,2010,2,21,12,35.0,-13,12.0,1014.0,0,31.3,0,0
1145,1238,2010,2,21,13,35.0,-15,13.0,1013.0,0,36.22,0,0
1146,1239,2010,2,21,14,27.0,-15,14.0,1012.0,0,42.03,0,0
1147,1240,2010,2,21,15,36.0,-15,14.0,1012.0,0,47.84,0,0
1148,1241,2010,2,21,16,30.0,-15,14.0,1012.0,0,51.86,0,0
1149,1242,2010,2,21,17,23.0,-15,12.0,1013.0,1,3.13,0,0
1150,1243,2010,2,21,18,20.0,-15,9.0,1014.0,3,0.89,0,0
1151,1244,2010,2,21,19,30.0,-13,4.0,1015.0,3,1.78,0,0
1152,1245,2010,2,21,20,69.0,-13,4.0,1016.0,3,2.67,0,0
1153,1246,2010,2,21,21,99.0,-12,4.0,1017.0,2,1.79,0,0
1154,1247,2010,2,21,22,117.0,-3,2.0,1018.0,2,7.6,0,0
1155,1248,2010,2,21,23,154.0,-6,1.0,1019.0,2,11.62,0,0
1156,1249,2010,2,22,0,154.0,-6,-1.0,1020.0,3,0.89,0,0
1157,1250,2010,2,22,1,136.0,-5,0.0,1021.0,3,1.34,0,0
1158,1251,2010,2,22,2,143.0,-6,-2.0,1021.0,2,1.79,0,0
1159,1252,2010,2,22,3,132.0,-7,-1.0,1021.0,2,4.92,0,0
1160,1253,2010,2,22,4,100.0,-8,-3.0,1021.0,2,6.71,0,0
1161,1254,2010,2,22,5,89.0,-8,-3.0,1021.0,2,8.5,0,0
1162,1255,2010,2,22,6,90.0,-7,-3.0,1021.0,2,10.29,0,0
1163,1256,2010,2,22,7,90.0,-8,-4.0,1021.0,2,12.08,0,0
1164,1257,2010,2,22,8,99.0,-7,-2.0,1022.0,2,15.21,0,0
1165,1258,2010,2,22,9,92.0,-7,-1.0,1022.0,2,19.23,0,0
1166,1259,2010,2,22,10,80.0,-8,0.0,1022.0,2,23.25,0,0
1167,1260,2010,2,22,11,56.0,-9,2.0,1022.0,2,26.38,0,0
1168,1261,2010,2,22,12,60.0,-10,3.0,1020.0,2,31.3,0,0
1169,1262,2010,2,22,13,72.0,-10,3.0,1019.0,2,34.43,0,0
1170,1263,2010,2,22,14,76.0,-10,4.0,1018.0,2,38.45,0,0
1171,1264,2010,2,22,15,79.0,-10,5.0,1017.0,2,42.47,0,0
1172,1265,2010,2,22,16,84.0,-10,4.0,1016.0,2,45.6,0,0
1173,1266,2010,2,22,17,92.0,-9,3.0,1015.0,2,48.73,0,0
1174,1267,2010,2,22,18,100.0,-8,2.0,1015.0,2,49.62,0,0
1175,1268,2010,2,22,19,95.0,-7,0.0,1015.0,2,51.41,0,0
1176,1269,2010,2,22,20,81.0,-7,-1.0,1014.0,3,0.89,0,0
1177,1270,2010,2,22,21,95.0,-7,0.0,1014.0,2,3.13,0,0
1178,1271,2010,2,22,22,87.0,-6,-1.0,1014.0,2,4.92,0,0
1179,1272,2010,2,22,23,86.0,-7,-2.0,1014.0,3,0.89,0,0
1180,1273,2010,2,23,0,90.0,-7,-4.0,1013.0,1,0.89,0,0
1181,1274,2010,2,23,1,111.0,-6,-4.0,1013.0,2,0.89,0,0
1182,1275,2010,2,23,2,104.0,-7,-4.0,1012.0,3,0.89,0,0
1183,1276,2010,2,23,3,129.0,-8,-5.0,1012.0,3,1.78,0,0
1184,1277,2010,2,23,4,117.0,-7,-5.0,1011.0,3,2.23,0,0
1185,1278,2010,2,23,5,105.0,-8,-6.0,1011.0,1,0.89,0,0
1186,1279,2010,2,23,6,112.0,-7,-6.0,1010.0,0,1.79,0,0
1187,1280,2010,2,23,7,130.0,-8,-6.0,1010.0,0,3.58,0,0
1188,1281,2010,2,23,8,134.0,-6,-4.0,1010.0,3,0.89,0,0
1189,1282,2010,2,23,9,136.0,-5,-1.0,1010.0,3,1.78,0,0
1190,1283,2010,2,23,10,142.0,-6,0.0,1009.0,0,1.79,0,0
1191,1284,2010,2,23,11,150.0,-7,2.0,1008.0,3,0.89,0,0
1192,1285,2010,2,23,12,148.0,-7,4.0,1007.0,3,1.78,0,0
1193,1286,2010,2,23,13,160.0,-7,5.0,1006.0,2,1.79,0,0
1194,1287,2010,2,23,14,179.0,-7,6.0,1004.0,3,0.89,0,0
1195,1288,2010,2,23,15,183.0,-6,7.0,1003.0,3,1.78,0,0
1196,1289,2010,2,23,16,191.0,-6,7.0,1003.0,2,1.79,0,0
1197,1290,2010,2,23,17,195.0,-6,7.0,1003.0,2,3.58,0,0
1198,1291,2010,2,23,18,196.0,-6,5.0,1003.0,2,4.47,0,0
1199,1292,2010,2,23,19,218.0,-7,3.0,1003.0,3,0.89,0,0
1200,1293,2010,2,23,20,246.0,-6,2.0,1003.0,0,1.79,0,0
1201,1294,2010,2,23,21,264.0,-6,0.0,1004.0,2,0.89,0,0
1202,1295,2010,2,23,22,274.0,-5,0.0,1004.0,3,0.45,0,0
1203,1296,2010,2,23,23,282.0,-6,-1.0,1004.0,3,1.34,0,0
1204,1297,2010,2,24,0,283.0,-6,-1.0,1003.0,0,1.79,0,0
1205,1298,2010,2,24,1,242.0,-6,0.0,1003.0,0,3.58,0,0
1206,1299,2010,2,24,2,227.0,-5,-1.0,1003.0,3,0.89,0,0
1207,1300,2010,2,24,3,223.0,-6,1.0,1003.0,3,1.78,0,0
1208,1301,2010,2,24,4,227.0,-6,-1.0,1002.0,0,1.79,0,0
1209,1302,2010,2,24,5,227.0,-5,-2.0,1003.0,0,3.58,0,0
1210,1303,2010,2,24,6,237.0,-5,-2.0,1003.0,0,6.71,0,0
1211,1304,2010,2,24,7,243.0,-5,-1.0,1003.0,0,9.84,0,0
1212,1305,2010,2,24,8,262.0,-5,0.0,1004.0,0,12.97,0,0
1213,1306,2010,2,24,9,296.0,-5,3.0,1004.0,0,16.99,0,0
1214,1307,2010,2,24,10,301.0,-4,5.0,1004.0,0,21.01,0,0
1215,1308,2010,2,24,11,302.0,-4,6.0,1004.0,0,25.03,0,0
1216,1309,2010,2,24,12,311.0,-4,7.0,1004.0,0,29.05,0,0
1217,1310,2010,2,24,13,307.0,-2,10.0,1003.0,0,33.97,0,0
1218,1311,2010,2,24,14,312.0,-2,11.0,1002.0,0,37.1,0,0
1219,1312,2010,2,24,15,298.0,-2,11.0,1002.0,3,0.89,0,0
1220,1313,2010,2,24,16,292.0,-1,11.0,1003.0,3,1.78,0,0
1221,1314,2010,2,24,17,299.0,0,10.0,1003.0,2,1.79,0,0
1222,1315,2010,2,24,18,353.0,0,8.0,1005.0,2,4.92,0,0
1223,1316,2010,2,24,19,368.0,2,6.0,1006.0,3,0.89,0,0
1224,1317,2010,2,24,20,309.0,3,7.0,1007.0,2,1.79,0,0
1225,1318,2010,2,24,21,284.0,3,6.0,1008.0,2,3.58,0,0
1226,1319,2010,2,24,22,244.0,2,6.0,1009.0,2,6.71,0,0
1227,1320,2010,2,24,23,218.0,3,5.0,1010.0,3,0.89,0,0
1228,1321,2010,2,25,0,164.0,2,4.0,1010.0,3,1.78,0,0
1229,1322,2010,2,25,1,153.0,1,3.0,1011.0,3,2.67,0,0
1230,1323,2010,2,25,2,135.0,1,3.0,1012.0,3,3.12,0,0
1231,1324,2010,2,25,3,134.0,1,3.0,1012.0,3,4.01,0,0
1232,1325,2010,2,25,4,139.0,0,2.0,1012.0,1,0.89,0,0
1233,1326,2010,2,25,5,148.0,0,1.0,1013.0,0,0.89,0,0
1234,1327,2010,2,25,6,210.0,-1,0.0,1014.0,0,2.68,0,0
1235,1328,2010,2,25,7,218.0,-3,-2.0,1014.0,0,4.47,0,0
1236,1329,2010,2,25,8,253.0,-1,0.0,1016.0,2,1.79,0,0
1237,1330,2010,2,25,9,266.0,1,2.0,1017.0,2,2.68,0,0
1238,1331,2010,2,25,10,241.0,0,5.0,1017.0,2,6.7,0,0
1239,1332,2010,2,25,11,235.0,0,7.0,1017.0,2,11.62,0,0
1240,1333,2010,2,25,12,237.0,-1,7.0,1017.0,2,16.54,0,0
1241,1334,2010,2,25,13,248.0,-2,8.0,1017.0,2,21.46,0,0
1242,1335,2010,2,25,14,180.0,-2,8.0,1016.0,2,26.38,0,0
1243,1336,2010,2,25,15,176.0,-1,6.0,1016.0,2,30.4,0,0
1244,1337,2010,2,25,16,165.0,-1,6.0,1016.0,2,35.32,0,0
1245,1338,2010,2,25,17,138.0,-1,6.0,1017.0,2,39.34,0,0
1246,1339,2010,2,25,18,136.0,-2,6.0,1017.0,2,42.47,0,0
1247,1340,2010,2,25,19,136.0,-2,5.0,1018.0,2,45.6,0,0
1248,1341,2010,2,25,20,130.0,-2,5.0,1018.0,2,47.39,0,0
1249,1342,2010,2,25,21,118.0,-6,4.0,1019.0,2,54.54,0,0
1250,1343,2010,2,25,22,56.0,-7,3.0,1019.0,2,59.46,0,0
1251,1344,2010,2,25,23,55.0,-6,2.0,1020.0,2,63.48,0,0
1252,1345,2010,2,26,0,52.0,-7,1.0,1020.0,2,66.61,0,0
1253,1346,2010,2,26,1,46.0,-7,0.0,1020.0,2,69.74,0,0
1254,1347,2010,2,26,2,46.0,-6,0.0,1021.0,2,71.53,0,0
1255,1348,2010,2,26,3,45.0,-6,0.0,1021.0,2,73.32,0,0
1256,1349,2010,2,26,4,51.0,-5,0.0,1020.0,2,75.11,0,0
1257,1350,2010,2,26,5,53.0,-5,0.0,1021.0,2,76.9,0,0
1258,1351,2010,2,26,6,50.0,-5,0.0,1021.0,2,78.69,0,0
1259,1352,2010,2,26,7,46.0,-5,0.0,1021.0,2,79.58,0,0
1260,1353,2010,2,26,8,58.0,-6,0.0,1022.0,2,81.37,0,0
1261,1354,2010,2,26,9,75.0,-6,1.0,1022.0,3,0.89,0,0
1262,1355,2010,2,26,10,72.0,-6,2.0,1022.0,2,1.79,0,0
1263,1356,2010,2,26,11,82.0,-6,3.0,1022.0,3,0.89,0,0
1264,1357,2010,2,26,12,81.0,-6,4.0,1021.0,3,1.78,0,0
1265,1358,2010,2,26,13,91.0,-6,5.0,1021.0,3,3.57,0,0
1266,1359,2010,2,26,14,93.0,-6,5.0,1020.0,2,4.02,0,0
1267,1360,2010,2,26,15,90.0,-6,5.0,1020.0,2,8.04,0,0
1268,1361,2010,2,26,16,79.0,-7,4.0,1020.0,2,12.06,0,0
1269,1362,2010,2,26,17,79.0,-7,3.0,1020.0,2,15.19,0,0
1270,1363,2010,2,26,18,70.0,-7,3.0,1020.0,2,16.08,0,0
1271,1364,2010,2,26,19,70.0,-7,3.0,1021.0,2,16.97,0,0
1272,1365,2010,2,26,20,84.0,-8,2.0,1021.0,2,17.86,0,0
1273,1366,2010,2,26,21,103.0,-10,2.0,1021.0,2,21.88,0,0
1274,1367,2010,2,26,22,95.0,-11,1.0,1022.0,2,25.9,0,0
1275,1368,2010,2,26,23,66.0,-12,0.0,1021.0,2,29.92,0,0
1276,1369,2010,2,27,0,38.0,-11,-1.0,1021.0,2,33.05,0,0
1277,1370,2010,2,27,1,35.0,-13,-1.0,1021.0,2,37.07,0,0
1278,1371,2010,2,27,2,30.0,-13,-1.0,1021.0,2,40.2,0,0
1279,1372,2010,2,27,3,29.0,-13,-1.0,1021.0,2,44.22,0,0
1280,1373,2010,2,27,4,31.0,-12,-1.0,1020.0,2,47.35,0,0
1281,1374,2010,2,27,5,29.0,-6,-3.0,1021.0,2,51.37,1,0
1282,1375,2010,2,27,6,31.0,-5,-4.0,1021.0,2,53.16,2,0
1283,1376,2010,2,27,7,34.0,-5,-4.0,1021.0,2,54.95,3,0
1284,1377,2010,2,27,8,52.0,-5,-4.0,1021.0,3,0.89,4,0
1285,1378,2010,2,27,9,65.0,-5,-3.0,1021.0,2,1.79,0,0
1286,1379,2010,2,27,10,89.0,-4,-2.0,1021.0,3,0.89,0,0
1287,1380,2010,2,27,11,138.0,-4,-2.0,1021.0,3,1.78,0,0
1288,1381,2010,2,27,12,77.0,-4,-1.0,1020.0,3,2.67,0,0
1289,1382,2010,2,27,13,88.0,-4,-1.0,1019.0,2,1.79,0,0
1290,1383,2010,2,27,14,95.0,-4,0.0,1018.0,2,3.58,0,0
1291,1384,2010,2,27,15,105.0,-5,0.0,1017.0,2,6.71,0,0
1292,1385,2010,2,27,16,101.0,-5,0.0,1017.0,2,9.84,0,0
1293,1386,2010,2,27,17,102.0,-5,0.0,1017.0,2,12.97,0,0
1294,1387,2010,2,27,18,103.0,-5,0.0,1017.0,2,14.76,0,0
1295,1388,2010,2,27,19,105.0,-5,0.0,1017.0,2,16.55,0,0
1296,1389,2010,2,27,20,98.0,-5,0.0,1018.0,3,0.89,0,0
1297,1390,2010,2,27,21,124.0,-5,0.0,1018.0,2,1.79,1,0
1298,1391,2010,2,27,22,112.0,-5,0.0,1019.0,3,0.45,0,0
1299,1392,2010,2,27,23,123.0,-5,-1.0,1020.0,2,0.89,0,0
1300,1393,2010,2,28,0,126.0,-4,-1.0,1020.0,1,0.89,0,0
1301,1394,2010,2,28,1,114.0,-4,-1.0,1019.0,3,0.45,0,0
1302,1395,2010,2,28,2,115.0,-4,-1.0,1019.0,3,1.34,0,0
1303,1396,2010,2,28,3,128.0,-4,-2.0,1019.0,1,0.89,0,0
1304,1397,2010,2,28,4,138.0,-6,-3.0,1019.0,3,0.89,0,0
1305,1398,2010,2,28,5,145.0,-5,-2.0,1020.0,0,1.79,0,0
1306,1399,2010,2,28,6,139.0,-4,-2.0,1020.0,0,5.81,0,0
1307,1400,2010,2,28,7,119.0,-5,-1.0,1020.0,0,9.83,0,0
1308,1401,2010,2,28,8,114.0,-4,-1.0,1021.0,0,13.85,0,0
1309,1402,2010,2,28,9,78.0,-7,2.0,1023.0,1,5.81,0,0
1310,1403,2010,2,28,10,80.0,-11,3.0,1023.0,1,12.96,0,0
1311,1404,2010,2,28,11,37.0,-15,3.0,1023.0,1,21.01,0,0
1312,1405,2010,2,28,12,20.0,-16,4.0,1024.0,1,26.82,0,0
1313,1406,2010,2,28,13,20.0,-18,4.0,1023.0,1,33.97,0,0
1314,1407,2010,2,28,14,14.0,-18,4.0,1023.0,1,42.02,0,0
1315,1408,2010,2,28,15,13.0,-14,3.0,1022.0,0,7.15,0,0
1316,1409,2010,2,28,16,16.0,-8,1.0,1023.0,0,16.09,0,0
1317,1410,2010,2,28,17,15.0,-6,0.0,1023.0,0,21.9,0,0
1318,1411,2010,2,28,18,21.0,-3,-2.0,1024.0,0,26.82,1,0
1319,1412,2010,2,28,19,72.0,-3,-2.0,1025.0,0,29.95,2,0
1320,1413,2010,2,28,20,85.0,-3,-2.0,1026.0,0,33.08,3,0
1321,1414,2010,2,28,21,108.0,-3,-2.0,1026.0,0,34.87,4,0
1322,1415,2010,2,28,22,128.0,-3,-2.0,1026.0,3,0.89,5,0
1323,1416,2010,2,28,23,161.0,-3,-3.0,1027.0,2,3.13,6,0
1324,1417,2010,3,1,0,69.0,-4,-3.0,1026.0,2,7.15,7,0
1325,1418,2010,3,1,1,59.0,-5,-4.0,1026.0,2,12.07,8,0
1326,1419,2010,3,1,2,42.0,-5,-4.0,1025.0,2,15.2,9,0
1327,1420,2010,3,1,3,35.0,-5,-4.0,1025.0,2,18.33,0,0
1328,1421,2010,3,1,4,35.0,-5,-5.0,1025.0,2,20.12,0,0
1329,1422,2010,3,1,5,29.0,-5,-4.0,1025.0,2,23.25,1,0
1330,1423,2010,3,1,6,25.0,-5,-4.0,1026.0,2,25.04,2,0
1331,1424,2010,3,1,7,23.0,-5,-4.0,1025.0,2,28.17,0,0
1332,1425,2010,3,1,8,17.0,-5,-4.0,1026.0,2,29.96,0,0
1333,1426,2010,3,1,9,25.0,-5,-3.0,1026.0,2,33.09,1,0
1334,1427,2010,3,1,10,39.0,-5,-2.0,1025.0,2,36.22,0,0
1335,1428,2010,3,1,11,44.0,-5,-1.0,1024.0,2,38.01,0,0
1336,1429,2010,3,1,12,51.0,-6,-2.0,1023.0,2,39.8,0,0
1337,1430,2010,3,1,13,61.0,-6,-1.0,1022.0,2,42.93,0,0
1338,1431,2010,3,1,14,70.0,-5,-1.0,1021.0,2,46.06,0,0
1339,1432,2010,3,1,15,70.0,-5,-1.0,1021.0,2,50.08,0,0
1340,1433,2010,3,1,16,65.0,-5,-1.0,1020.0,2,53.21,0,0
1341,1434,2010,3,1,17,75.0,-5,-1.0,1020.0,2,58.13,0,0
1342,1435,2010,3,1,18,86.0,-5,-2.0,1020.0,2,63.05,1,0
1343,1436,2010,3,1,19,91.0,-5,-2.0,1020.0,2,67.07,0,0
1344,1437,2010,3,1,20,95.0,-5,-2.0,1020.0,2,70.2,0,0
1345,1438,2010,3,1,21,89.0,-5,-2.0,1019.0,2,73.33,0,0
1346,1439,2010,3,1,22,96.0,-5,-2.0,1019.0,2,77.35,0,0
1347,1440,2010,3,1,23,99.0,-5,-2.0,1019.0,2,80.48,0,0
1348,1441,2010,3,2,0,101.0,-5,-2.0,1019.0,2,82.27,0,0
1349,1442,2010,3,2,1,101.0,-5,-2.0,1019.0,3,0.89,0,0
1350,1443,2010,3,2,2,108.0,-5,-2.0,1019.0,2,0.89,0,0
1351,1444,2010,3,2,3,108.0,-5,-3.0,1018.0,3,0.89,0,0
1352,1445,2010,3,2,4,115.0,-6,-5.0,1018.0,3,1.78,0,0
1353,1446,2010,3,2,5,111.0,-7,-6.0,1018.0,0,1.79,0,0
1354,1447,2010,3,2,6,120.0,-7,-6.0,1019.0,3,0.89,0,0
1355,1448,2010,3,2,7,125.0,-8,-6.0,1020.0,3,1.78,0,0
1356,1449,2010,3,2,8,138.0,-6,-5.0,1021.0,0,1.79,0,0
1357,1450,2010,3,2,9,164.0,-4,0.0,1022.0,0,4.92,0,0
1358,1451,2010,3,2,10,169.0,-7,2.0,1023.0,0,12.07,0,0
1359,1452,2010,3,2,11,82.0,-9,4.0,1022.0,0,20.12,0,0
1360,1453,2010,3,2,12,63.0,-9,6.0,1022.0,0,28.17,0,0
1361,1454,2010,3,2,13,37.0,-11,6.0,1022.0,0,36.22,0,0
1362,1455,2010,3,2,14,37.0,-12,7.0,1021.0,0,44.27,0,0
1363,1456,2010,3,2,15,36.0,-12,8.0,1021.0,0,52.32,0,0
1364,1457,2010,3,2,16,30.0,-13,8.0,1021.0,0,60.37,0,0
1365,1458,2010,3,2,17,27.0,-12,8.0,1021.0,0,65.29,0,0
1366,1459,2010,3,2,18,28.0,-13,7.0,1022.0,0,69.31,0,0
1367,1460,2010,3,2,19,34.0,-12,7.0,1023.0,0,72.44,0,0
1368,1461,2010,3,2,20,44.0,-12,5.0,1024.0,3,0.89,0,0
1369,1462,2010,3,2,21,116.0,-11,5.0,1024.0,0,1.79,0,0
1370,1463,2010,3,2,22,139.0,-6,3.0,1024.0,2,3.13,0,0
